武器,星级,毕业词条1,毕业词条2,毕业词条3
白夜新星,6星,主能力提升,源石技艺提升,附术
显赫声名,6星,主能力提升,物理伤害提升,残暴
热熔切割器,6星,意志提升,攻击提升,流转
扶摇,6星,主能力提升,暴击率提升,夜幕
黯色火炬,6星,智识提升,灼热伤害提升,附术
熔铸火焰,6星,智识提升,攻击提升,夜幕
不知归,6星,意志提升,攻击提升,流转
宏愿,6星,敏捷提升,攻击提升,附术
仰止,5星,敏捷提升,物理伤害提升,夜幕
O.B.J.轻芒,5星,敏捷提升,攻击提升,流转
十二问,5星,敏捷提升,攻击提升,附术
逆鳞3.0,5星,力量提升,寒冷伤害提升,压制
坚城铸造者,5星,智识提升,终结技效率提升,昂扬
钢铁余音,5星,敏捷提升,物理伤害提升,巧技
破碎君王,6星,力量提升,暴击率提升,粉碎
昔日精品,6星,意志提升,生命提升,效益
典范,6星,主能力提升,攻击提升,压制
赫拉芬格,6星,力量提升,攻击提升,迸发
大雷斑,6星,力量提升,生命提升,医疗
O.B.J.重荷,5星,力量提升,生命提升,效益
终点之声,5星,力量提升,生命提升,医疗
古渠,5星,力量提升,源石技艺提升,残暴
探骊,5星,力量提升,终结技效率提升,迸发
J.E.T.,6星,主能力提升,攻击提升,压制
骁勇,6星,敏捷提升,物理伤害提升,巧技
负山,6星,敏捷提升,物理伤害提升,效益
向心之引,5星,意志提升,电磁伤害提升,压制
O.B.J.尖峰,5星,意志提升,物理伤害提升,附术
嵌合正义,5星,力量提升,终结技效率提升,残暴
楔子,6星,主能力提升,暴击率提升,附术
同类相食,6星,主能力提升,法术伤害提升,附术
领航者,6星,智识提升,寒冷伤害提升,附术
艺术暴君,6星,智识提升,暴击率提升,切骨
理性告别,5星,力量提升,灼热伤害提升,追袭
O.B.J.迅极,5星,敏捷提升,终结技效率提升,迸发
作品众生,5星,敏捷提升,法术伤害提升,附术
骑士精神,6星,意志提升,生命提升,医疗
遗忘,6星,智识提升,法术伤害提升,夜幕
爆破单元,6星,主能力提升,源石技艺提升,迸发
作品蚀迹,6星,意志提升,自然伤害提升,压制
沧溟星梦,6星,智识提升,治疗效率提升,附术
使命必达,6星,意志提升,终结技效率提升,追袭
O.B.J.术识,5星,智识提升,源石技艺提升,追袭
布道自由,5星,意志提升,治疗效率提升,医疗
迷失荒野,5星,智识提升,电磁伤害提升,附术
莫奈何,5星,意志提升,终结技效率提升,昂扬
悼亡诗,5星,智识提升,攻击提升,夜幕
光荣记忆,6星,敏捷提升,暴击率提升,夜幕
望乡,6星,敏捷提升,寒冷伤害提升,压制
落草,6星,敏捷提升,攻击力提升,迸发
